ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202212,인쌩맥주 제주시청점,제주시,이도2동,제주시내,주점및주류판매,맥주/요리주점,1.73,2.83,0.1,0.5,0.34,1.61,0.27,1777,다다09b01a
202212,제주주민센터,제주시,삼도2동,제주시내,한식,가정식,0.15,0.41,0.01,0.1,0.03,0.26,-0.06,10772,다다08b02b
202212,두찜외도점,제주시,외도동,제주시내,한식,가정식,0.11,0.17,0.01,0.04,0.02,0.11,-0.06,10773,다다00b00a
202212,몸생각,제주시,삼양동,제주시내,한식,가정식,1.08,0.21,0,0.03,0.16,0.11,-0.02,9495,다다14b03b
202212,우성식당,서귀포시,예래동,서귀포시내,한식,가정식,0.21,0.47,0,0.04,0.03,0.23,0.09,4681,나나98b75a
202212,용꽈배기,제주시,노형동,제주시내,베이커리.디저트,베이커리,0.77,3.61,0.04,0.63,0.15,2.05,0.37,1159,다나04a99a
202212,한라닭강정,제주시,용담1동,제주시내,피자.치킨.햄버거,치킨,0.18,0.47,0.16,1.42,0.17,1.4,-0.67,12400,다다08b02b
202212,제주국담,제주시,연동,제주시내,한식,가정식,0.17,0.35,0.21,0.82,0.21,0.84,-0.03,9706,다다06b00a
202212,카페로드,제주시,노형동,제주시내,카페,커피,0.15,0.64,0.01,0.13,0.03,0.38,0.02,7416,다나05b99b
202212,쌍둥이횟집본점,서귀포시,정방동,서귀포시내,일식.회,회,2.58,1.61,2.58,3,2.68,3.22,0.74,406,다나12b73a
202212,대왕민물장어,제주시,이도2동,제주시내,한식,장어,0.47,0.58,0,0,0.07,0.24,-0.11,11462,다다10b00b
202212,애담한우,제주시,오라동,제주시내,고기,소고기,0.17,0.21,0.04,0.06,0.06,0.13,0,8515,다다07a01a
202212,돈줄,제주시,일도2동,제주시내,고기,돼지고기,4.11,0.17,0.4,0.03,0.97,0.1,-0.05,10583,다다10b02b
202212,나루터,서귀포시,중문동,서귀포시내,한식,가정식,0.17,0.21,0.01,0.03,0.03,0.11,-0.07,10998,나나99b73b
202212,베이크,제주시,외도동,제주시내,한식,단품요리 전문,0.09,0.47,0,0.04,0.02,0.23,0.08,5124,다다00b00a
202212,카페록키,서귀포시,대륜동,서귀포시내,카페,커피,0.01,0.03,0.01,0.04,0.01,0.05,0.28,1671,다나08b73a
202212,피자클래스중문신시가지점,서귀포시,중문동,서귀포시내,피자.치킨.햄버거,피자,0.52,0.5,0.01,0.04,0.09,0.24,-0.01,8787,다나00a73b
202212,오마카세요리쇼고,제주시,아라동,제주시내,한식,단품요리 전문,0.42,0.23,0.12,0.17,0.17,0.24,0.04,6408,다나11b98a
202212,스시황,제주시,노형동,제주시내,일식.회,일식,0.53,0.44,0.01,0.03,0.09,0.21,0.23,2070,다다05a00a
202212,동문관,제주시,일도1동,제주시내,중식,중식,0.19,1.16,0.02,0.32,0.04,0.76,0.05,6006,다다09b02b
202212,더 한근,제주시,노형동,제주시내,한식,단품요리 전문,0.64,0.41,0.32,0.53,0.38,0.62,0.09,4813,다다05a00a
202212,문앤스타포차,제주시,노형동,제주시내,한식,단품요리 전문,0.18,0.21,0,0.01,0.03,0.1,0.03,7141,다나04b99b
202212,한스델리 제주서귀포점,서귀포시,중앙동,서귀포시내,양식,패밀리 레스토랑,0.61,1.46,0.01,0.06,0.1,0.66,0.15,3194,다나12b73a
202212,밀면맛있는집 이도점,제주시,아라동,제주시내,한식,면류,0.28,0.88,0.01,0.12,0.05,0.46,0.11,4253,다다11a00a
202212,버무리떡볶이연동점,제주시,연동,제주시내,분식,분식,0.25,1.46,0.01,0.1,0.04,0.69,0.16,3010,다나06a99a
202212,중문해물탕,서귀포시,중문동,서귀포시내,한식,해물탕,0.38,0.21,0.12,0.29,0.17,0.33,-0.01,9198,나나99b73b
202212,신관,서귀포시,정방동,서귀포시내,일식.회,일식,0.44,0.11,0.74,0.6,0.72,0.56,0.42,992,다나12b73a
202212,쿠웨이트 삼화점,제주시,화북동,제주시내,한식,가정식,0.08,0.29,0,0.01,0.01,0.13,0.08,5125,다다13b02b
202212,친구야가자,제주시,용담1동,제주시내,한식,단품요리 전문,0.02,0.03,0,0,0,0.01,0.1,4380,다다08a01b
202212,도로시,제주시,노형동,제주시내,카페,커피,0.12,0.58,0,0,0.02,0.24,0.11,4191,다다05a00a
202212,소풍,제주시,이도2동,제주시내,카페,커피,0.05,0.06,0,0,0.01,0.03,-0.02,9414,다다09b00a
202212,만민,제주시,노형동,제주시내,베이커리.디저트,베이커리,0.37,0.38,0,0,0.05,0.16,-0.05,10584,다나04b99b
202212,스페샬원노형점,제주시,노형동,제주시내,주점및주류판매,꼬치구이,0.06,0.06,0.01,0.03,0.01,0.05,-0.01,9056,다나05b99a
202212,메밀애,서귀포시,대천동,서귀포시내,한식,가정식,0.38,0.73,0.01,0.1,0.07,0.39,0.3,1555,다나06b72a
202212,황금마차,제주시,용담1동,제주시내,한식,가정식,0.16,0.11,0,0,0.02,0.05,0.04,6698,다다08a01b
202212,옛날통닭 외도점,제주시,외도동,제주시내,피자.치킨.햄버거,치킨,0.53,1.98,0.01,0.12,0.09,0.93,0.12,3933,다다00b00a
202212,79대포 제주일도점,제주시,일도2동,제주시내,주점,주류,0.48,0.38,0,0.01,0.08,0.17,0.16,3065,다다11a01b
202212,계절상점,제주시,아라동,제주시내,한식,단품요리 전문,0,0.03,0,0,0,0.01,-0.01,8940,다나09b97a
202212,에이바우트커피 정부종합청사점,제주시,이도2동,제주시내,카페,커피,0.67,6.44,0.02,0.4,0.12,3.04,0.44,907,다다09b00a
202212,지유명차 제주노형점,제주시,노형동,제주시내,카페,차,0.46,0.06,0,0,0.07,0.03,-0.03,9861,다나05a99a
202212,못난이꽈배기 제주이도점,제주시,이도2동,제주시내,베이커리.디저트,베이커리,0.34,0.96,0,0.01,0.05,0.41,0.44,896,다다10b00a
202212,홍가네고기집 일도점,제주시,일도2동,제주시내,한식,가정식,0.18,0.21,0,0.01,0.03,0.1,-0.05,10585,다다11a01b
202212,장원수산,제주시,건입동,제주시내,일식.회,회,0.17,0.06,0.01,0.01,0.03,0.04,0,8516,다다09b03a
202212,공예가있는찻집하늘,제주시,이도1동,제주시내,카페,커피,0.02,0.11,0,0,0,0.05,0.04,6699,다다09b01b
202212,까투리꼬치구이태양점,제주시,연동,제주시내,주점및주류판매,꼬치구이,0.49,0.55,0.03,0.1,0.1,0.32,0.03,7295,다다06b00a
202212,로얄호프,제주시,연동,제주시내,주점및주류판매,맥주/요리주점,0.19,0.35,0,0.03,0.03,0.17,-0.02,9648,다다06a00a
202212,추가네,제주시,오라동,제주시내,한식,추어탕,0.69,2.6,0,0,0.1,1.09,0.3,1570,다다08b00b
202212,늘봄흑돼지,제주시,노형동,제주시내,고기,돼지고기,14.32,12.6,4.87,7.25,6.47,11.42,1.34,138,다나04b99a
202212,파리바게뜨 제주연동1호점,제주시,연동,제주시내,베이커리.디저트,베이커리,2.07,10.17,0.06,1.01,0.36,5.11,0.03,7334,다나06a99a
202212,유동커피,서귀포시,송산동,서귀포시내,카페,커피,1.89,5.04,0.65,8.84,0.86,9.61,1.16,191,다나12b72b
202212,부가네얼큰이상무점,제주시,연동,제주시내,한식,가정식,0.52,0.73,0.03,0.19,0.11,0.46,-0.01,9199,다다06a00a
202212,예닮국수,제주시,외도동,제주시내,한식,면류,1.53,3.61,0.03,0.16,0.25,1.65,0.27,1729,다다00b00a
202212,뽕꼬랑김밥,제주시,용담2동,제주시내,분식,분식,0.41,2.27,0.01,0.12,0.07,1.05,0.66,497,다다07b02b
202212,호봉토스트노형점,제주시,노형동,제주시내,베이커리.디저트,샌드위치/토스트,0.35,1.31,0,0.03,0.05,0.57,-0.04,10089,다다05a00a
202212,모이세해장국 노형점,제주시,노형동,제주시내,한식,가정식,3.47,8.31,0.27,1.68,0.76,4.9,0.84,333,다다04b00a
202212,유생식당,제주시,이도2동,제주시내,한식,가정식,0.09,0.26,0.01,0.09,0.02,0.18,0.25,1908,다다10b00b
202212,구이구이돌담집,서귀포시,대천동,서귀포시내,한식,가정식,0.31,0.17,0.06,0.12,0.1,0.17,0.11,4071,다나07a73b
202212,빽다방베이커리제주사수본점,제주시,도두동,제주시내,카페,커피,2.25,16.56,0.67,15,0.93,19.66,2.4,43,다다04b02a
202212,꽃피는술집,서귀포시,정방동,서귀포시내,한식,가정식,0.13,0.15,0.01,0.06,0.03,0.11,-0.06,10774,다나12b73a
202212,오일장오르막가든,제주시,도두동,제주시내,한식,가정식,0.39,0.64,0.05,0.17,0.1,0.41,0.14,3355,다다04b00b
202212,술오름,제주시,이도2동,제주시내,한식,단품요리 전문,0.06,0.06,0,0,0.01,0.03,0.05,6124,다다10b00b
202212,추사밥상월정,제주시,아라동,제주시내,한식,가정식,0.26,0.38,0,0,0.04,0.16,0.01,7922,다나11a98b
202212,소나무집,서귀포시,동홍동,서귀포시내,한식,단품요리 전문,0,0,0,0.01,0,0.01,-0.01,8941,다나13b73b
202212,원조우향해장국,제주시,연동,제주시내,한식,해장국,0.31,0.9,0.05,0.29,0.09,0.62,0.22,2248,다나06b99b
202212,바른곱창제주직영점,제주시,아라동,제주시내,고기,곱창,1.27,0.7,0.03,0.06,0.22,0.34,0.23,2152,다다11a00a
202212,은하수식당,서귀포시,천지동,서귀포시내,한식,가정식,0,0.03,0,0.01,0,0.03,-0.03,9862,다나12a73b
202212,올레하르방순대,서귀포시,대천동,서귀포시내,한식,순대,0.13,0.26,0.02,0.09,0.03,0.18,0.26,1818,다나04b72a
202212,영건푸드,제주시,삼도1동,제주시내,한식,가정식,0.02,0.06,0,0.01,0.01,0.04,0,8517,다다09a01a
202212,미친주면소,제주시,삼도2동,제주시내,일식.회,일식,1.69,0.35,0.04,0.16,0.29,0.28,0.11,4192,다다09a03a
202212,삼화왕갈비,제주시,화북동,제주시내,고기,갈비,1.02,0.32,0.03,0.04,0.17,0.17,0.07,5524,다다14a02b
